Opening all_modis_10k.txt
Run Date dhours1 sep1 aetype1 cloudfrac1 dbod1 dbae1 dhours2 sep2 aetype2 cloudfrac2 dbod2 dbae2
45054 2008-04-24 17:58:18 76694.4 8.1 1.00 0.01 0.02 1.50 6038.4 6.3 2.00 0.00 0.03 1.50
45055 2008-04-24 18:23:31 76694.0 8.1 1.00 0.01 0.02 1.50 6038.0 6.3 2.00 0.00 0.03 1.50
45056 2008-04-24 18:53:54 76693.5 8.1 1.00 0.01 0.02 1.50 6037.5 6.3 2.00 0.00 0.03 1.50
45073 2008-04-25 17:49:32 76670.6 8.1 1.00 0.01 0.02 1.50 6014.6 6.3 2.00 0.00 0.03 1.50
45074 2008-04-25 18:19:52 76670.1 8.1 1.00 0.01 0.02 1.50 6014.1 6.3 2.00 0.00 0.03 1.50
45075 2008-04-25 18:27:55 76670.0 8.1 1.00 0.01 0.02 1.50 6014.0 6.3 2.00 0.00 0.03 1.50
45076 2008-04-25 18:58:00 76669.4 8.1 1.00 0.01 0.02 1.50 6013.4 6.3 2.00 0.00 0.03 1.50
45077 2008-04-25 19:28:33 76668.9 8.1 1.00 0.01 0.02 1.50 6012.9 6.3 2.00 0.00 0.03 1.50
45078 2008-04-25 19:39:50 76668.8 8.1 1.00 0.01 0.02 1.50 6012.8 6.3 2.00 0.00 0.03 1.50
45079 2008-04-25 19:52:01 76668.5 8.1 1.00 0.01 0.02 1.50 6012.5 6.3 2.00 0.00 0.03 1.50
45093 2008-04-26 17:48:54 76646.6 8.1 1.00 0.01 0.02 1.50 5990.6 6.3 2.00 0.00 0.03 1.50
45094 2008-04-26 18:01:13 76646.4 8.1 1.00 0.01 0.02 1.50 5990.4 6.3 2.00 0.00 0.03 1.50
45095 2008-04-26 18:31:41 76645.9 8.1 1.00 0.01 0.02 1.50 5989.9 6.3 2.00 0.00 0.03 1.50
45096 2008-04-26 19:02:20 76645.4 8.1 1.00 0.01 0.02 1.50 5989.4 6.3 2.00 0.00 0.03 1.50
45097 2008-04-26 19:33:03 76644.9 8.1 1.00 0.01 0.02 1.50 5988.9 6.3 2.00 0.00 0.03 1.50
45098 2008-04-26 20:04:11 76644.3 8.1 1.00 0.01 0.02 1.50 5988.3 6.3 2.00 0.00 0.03 1.50
45099 2008-04-26 20:34:44 76643.8 8.1 1.00 0.01 0.02 1.50 5987.8 6.3 2.00 0.00 0.03 1.50
45118 2008-04-27 17:47:49 76622.6 8.1 1.00 0.01 0.02 1.50 5966.6 6.3 2.00 0.00 0.03 1.50
45119 2008-04-27 18:18:06 76622.1 8.1 1.00 0.01 0.02 1.50 5966.1 6.3 2.00 0.00 0.03 1.50
45120 2008-04-27 18:48:39 76621.6 8.1 1.00 0.01 0.02 1.50 5965.6 6.3 2.00 0.00 0.03 1.50
45121 2008-04-27 19:19:07 76621.1 8.1 1.00 0.01 0.02 1.50 5965.1 6.3 2.00 0.00 0.03 1.50
45122 2008-04-27 19:49:29 76620.6 8.1 1.00 0.01 0.02 1.50 5964.6 6.3 2.00 0.00 0.03 1.50
45123 2008-04-27 20:20:34 76620.1 8.1 1.00 0.01 0.02 1.50 5964.1 6.3 2.00 0.00 0.03 1.50
45124 2008-04-27 20:50:48 76619.6 8.1 1.00 0.01 0.02 1.50 5963.6 6.3 2.00 0.00 0.03 1.50
45125 2008-04-27 21:21:07 76619.1 8.1 1.00 0.01 0.02 1.50 5963.1 6.3 2.00 0.00 0.03 1.50
45129 2008-04-28 17:52:41 76598.5 8.1 1.00 0.01 0.02 1.50 5942.5 6.3 2.00 0.00 0.03 1.50
45130 2008-04-28 18:06:44 76598.3 8.1 1.00 0.01 0.02 1.50 5942.3 6.3 2.00 0.00 0.03 1.50
45131 2008-04-28 18:50:24 76597.6 8.1 1.00 0.01 0.02 1.50 5941.6 6.3 2.00 0.00 0.03 1.50
45132 2008-04-28 19:21:03 76597.1 8.1 1.00 0.01 0.02 1.50 5941.1 6.3 2.00 0.00 0.03 1.50
45133 2008-04-28 19:51:51 76596.6 8.1 1.00 0.01 0.02 1.50 5940.6 6.3 2.00 0.00 0.03 1.50
45134 2008-04-28 20:22:12 76596.0 8.1 1.00 0.01 0.02 1.50 5940.0 6.3 2.00 0.00 0.03 1.50
45135 2008-04-28 20:52:37 76595.5 8.1 1.00 0.01 0.02 1.50 5939.5 6.3 2.00 0.00 0.03 1.50
45136 2008-04-28 21:22:58 76595.0 8.1 1.00 0.01 0.02 1.50 5939.0 6.3 2.00 0.00 0.03 1.50
45137 2008-04-28 21:53:28 76594.5 8.1 1.00 0.01 0.02 1.50 5938.5 6.3 2.00 0.00 0.03 1.50
45138 2008-04-28 22:15:37 76594.2 8.1 1.00 0.01 0.02 1.50 5938.2 6.3 2.00 0.00 0.03 1.50
45150 2008-04-29 17:47:55 76574.6 8.1 1.00 0.01 0.02 1.50 5918.6 6.3 2.00 0.00 0.03 1.50
45151 2008-04-29 18:18:13 76574.1 8.1 1.00 0.01 0.02 1.50 5918.1 6.3 2.00 0.00 0.03 1.50
45152 2008-04-29 19:25:22 76573.0 8.1 1.00 0.01 0.02 1.50 5917.0 6.3 2.00 0.00 0.03 1.50
45153 2008-04-29 20:00:51 76572.4 8.1 1.00 0.01 0.02 1.50 5916.4 6.3 2.00 0.00 0.03 1.50
45154 2008-04-29 20:36:20 76571.8 8.1 1.00 0.01 0.02 1.50 5915.8 6.3 2.00 0.00 0.03 1.50
45155 2008-04-29 21:06:57 76571.3 8.1 1.00 0.01 0.02 1.50 5915.3 6.3 2.00 0.00 0.03 1.50
45156 2008-04-29 21:37:23 76570.8 8.1 1.00 0.01 0.02 1.50 5914.8 6.3 2.00 0.00 0.03 1.50
45157 2008-04-29 22:07:51 76570.3 8.1 1.00 0.01 0.02 1.50 5914.3 6.3 2.00 0.00 0.03 1.50
45158 2008-04-29 22:16:12 76570.1 8.1 1.00 0.01 0.02 1.50 5914.1 6.3 2.00 0.00 0.03 1.50
45159 2008-04-29 22:47:14 76569.6 8.1 1.00 0.01 0.02 1.50 5913.6 6.3 2.00 0.00 0.03 1.50
45160 2008-04-29 23:17:51 76569.1 8.1 1.00 0.01 0.02 1.50 5913.1 6.3 2.00 0.00 0.03 1.50
45166 2008-04-30 17:45:40 76550.7 8.1 1.00 0.01 0.02 1.50 5894.7 6.3 2.00 0.00 0.03 1.50
45167 2008-04-30 18:16:38 76550.1 8.1 1.00 0.01 0.02 1.50 5894.1 6.3 2.00 0.00 0.03 1.50
45168 2008-04-30 18:47:14 76549.6 8.1 1.00 0.01 0.02 1.50 5893.6 6.3 2.00 0.00 0.03 1.50
45169 2008-04-30 19:17:23 76549.1 8.1 1.00 0.01 0.02 1.50 5893.1 6.3 2.00 0.00 0.03 1.50
45170 2008-04-30 19:48:07 76548.6 8.1 1.00 0.01 0.02 1.50 5892.6 6.3 2.00 0.00 0.03 1.50
45171 2008-04-30 20:18:23 76548.1 8.1 1.00 0.01 0.02 1.50 5892.1 6.3 2.00 0.00 0.03 1.50
45172 2008-04-30 20:48:35 76547.6 8.1 1.00 0.01 0.02 1.50 5891.6 6.3 2.00 0.00 0.03 1.50
45173 2008-04-30 21:18:58 76547.1 8.1 1.00 0.01 0.02 1.50 5891.1 6.3 2.00 0.00 0.03 1.50
45174 2008-04-30 21:49:20 76546.6 8.1 1.00 0.01 0.02 1.50 5890.6 6.3 2.00 0.00 0.03 1.50
45175 2008-04-30 22:20:07 76546.1 8.1 1.00 0.01 0.02 1.50 5890.1 6.3 2.00 0.00 0.03 1.50
45176 2008-04-30 22:50:37 76545.6 8.1 1.00 0.01 0.02 1.50 5889.6 6.3 2.00 0.00 0.03 1.50
45177 2008-04-30 23:21:13 76545.1 8.1 1.00 0.01 0.02 1.50 5889.1 6.3 2.00 0.00 0.03 1.50
45178 2008-04-30 23:51:48 76544.6 8.1 1.00 0.01 0.02 1.50 5888.6 6.3 2.00 0.00 0.03 1.50
45179 2008-05-01 00:22:12 76544.0 8.1 1.00 0.01 0.02 1.50 5888.0 6.3 2.00 0.00 0.03 1.50
45187 2008-05-01 17:45:22 76526.7 8.1 1.00 0.01 0.02 1.50 5870.7 6.3 2.00 0.00 0.03 1.50
45188 2008-05-01 18:16:06 76526.1 8.1 1.00 0.01 0.02 1.50 5870.1 6.3 2.00 0.00 0.03 1.50
45189 2008-05-01 18:46:08 76525.6 8.1 1.00 0.01 0.02 1.50 5869.6 6.3 2.00 0.00 0.03 1.50
45190 2008-05-01 19:16:24 76525.1 8.1 1.00 0.01 0.02 1.50 5869.1 6.3 2.00 0.00 0.03 1.50
45191 2008-05-01 19:48:48 76524.6 8.1 1.00 0.01 0.02 1.50 5868.6 6.3 2.00 0.00 0.03 1.50
45192 2008-05-01 20:19:10 76524.1 8.1 1.00 0.01 0.02 1.50 5868.1 6.3 2.00 0.00 0.03 1.50
45193 2008-05-01 20:49:19 76523.6 8.1 1.00 0.01 0.02 1.50 5867.6 6.3 2.00 0.00 0.03 1.50
45194 2008-05-01 21:19:34 76523.1 8.1 1.00 0.01 0.02 1.50 5867.1 6.3 2.00 0.00 0.03 1.50
45195 2008-05-01 21:51:16 76522.6 8.1 1.00 0.01 0.02 1.50 5866.6 6.3 2.00 0.00 0.03 1.50
