Run Date dhours1 sep1 aetype1 cloudfrac1 dbod1 dbae1 dhours2 sep2 aetype2 cloudfrac2 dbod2 dbae2
78815 2012-11-16 00:14:18 -14.8 1.8 3.00 0.00 0.04 1.50 8.3 5.1 1.00 0.05 0.04 1.50
78922 2012-11-18 00:14:59 -15.1 4.7 -9999.00 0.00 0.03 1.50 32.8 4.1 -9999.00 0.91 -10.00 -10.00
79556 2012-12-07 22:25:04 -13.7 4.3 -9999.00 1.00 -10.00 -10.00 11.1 8.3 -9999.00 0.94 -10.00 -10.00
79858 2012-12-17 22:12:32 -12.8 5.0 2.00 0.12 0.03 1.50 10.3 4.8 1.00 0.00 0.05 1.50
79859 2012-12-17 22:27:30 -13.0 5.0 2.00 0.12 0.03 1.50 10.0 4.8 1.00 0.00 0.05 1.50
79860 2012-12-17 22:57:37 -13.5 5.0 2.00 0.12 0.03 1.50 9.5 4.8 1.00 0.00 0.05 1.50
79862 2012-12-17 23:34:27 -14.2 5.0 2.00 0.12 0.03 1.50 8.9 4.8 1.00 0.00 0.05 1.50
79881 2012-12-18 22:15:15 -13.8 4.8 1.00 0.00 0.05 1.50 10.9 2.4 -9999.00 0.94 -10.00 -10.00
79882 2012-12-18 22:36:33 -14.1 4.8 1.00 0.00 0.05 1.50 10.6 2.4 -9999.00 0.94 -10.00 -10.00
79884 2012-12-18 22:51:31 -14.4 4.8 1.00 0.00 0.05 1.50 10.3 2.4 -9999.00 0.94 -10.00 -10.00
79885 2012-12-18 23:22:00 -14.9 4.8 1.00 0.00 0.05 1.50 9.8 2.4 -9999.00 0.94 -10.00 -10.00
80026 2013-01-03 20:07:50 -11.6 4.8 2.00 0.00 0.07 1.50 13.0 1.6 2.00 0.00 0.05 1.50
80081 2013-01-04 20:35:06 -11.4 1.6 2.00 0.00 0.05 1.50 36.4 3.7 -9999.00 0.00 0.05 1.50
80086 2013-01-04 21:40:09 -12.5 1.6 2.00 0.00 0.05 1.50 35.3 3.7 -9999.00 0.00 0.05 1.50
80124 2013-01-05 20:12:22 -35.0 1.6 2.00 0.00 0.05 1.50 12.8 3.7 -9999.00 0.00 0.05 1.50
80129 2013-01-05 21:14:18 -36.1 1.6 2.00 0.00 0.05 1.50 11.8 3.7 -9999.00 0.00 0.05 1.50
80154 2013-01-06 19:41:43 -10.7 3.7 -9999.00 0.00 0.05 1.50 14.1 6.0 2.00 0.10 0.09 1.50

